previous_key,event_id,event_type,auction_gln,supplier_gln,customer_gln,gtin,serial_number,weight,event_time,location_name,location_coordinate,product_name,comapny_name,generator_type,new_key,generator_gln,last_pi_gln,next_pi_gln,company_name
935204d1-7430-40f7-ab76-6cae4d3364f6,39424cff-17ce-4abd-9852-16e7dd12a0eb,2,4692187105560,5623293609856,0667595524556,13807584359887,44V,599,2022-Aug-11T02:34:31 +0000,Bali,"-8.5278193,115.5054367",SuMWc,hEyWkGu,auction center,935204d1-7430-40f7-ab76-6cae4d3364f6,4692187105560,5623293609856,7370837891080,Bali_auction_1
37d15897-a3a2-4721-8123-70ad19f17e29,72085eeb-65b5-45af-936f-f9bd8e0251ed,2,7307964990659,5623293609856,9997025506589,29419205590179,54U,4000,2022-Aug-11T02:34:31 +0000,Bali,"-8.7373787,115.2054138",rTQhT,VNvSnxR,auction center,37d15897-a3a2-4721-8123-70ad19f17e29,7307964990659,5623293609856,7618072701594,Bali_auction_0
0d2f6b6e-cfaa-439e-95f7-99da4678cda9,6d0c59ce-ac45-40e5-b7bd-181f8f9c9bfc,2,4692187105560,5623293609856,9997025506589,02222891936486,89JOESIXQKJZJWZ,8184,2022-Aug-11T02:34:31 +0000,Bali,"-8.5278193,115.5054367",wglBH,BgXRoRM,auction center,0d2f6b6e-cfaa-439e-95f7-99da4678cda9,4692187105560,5623293609856,7618072701594,Bali_auction_1
2b08f4d4-51f0-4bfb-93ab-8e19a08fffe5,f1828ae6-408d-44d7-8fb6-be36bba6c87c,2,7307964990659,2937171970248,0667595524556,22213559357203,94ATZIZWEUWAJPOMGDGBVL,8856,2022-Aug-11T02:34:31 +0000,Bali,"-8.7373787,115.2054138",sjfwj,vGalYhI,auction center,2b08f4d4-51f0-4bfb-93ab-8e19a08fffe5,7307964990659,2937171970248,7618072701594,Bali_auction_0
d5a7d9b3-5626-47fb-9f82-50cbdca184ee,a3748dda-0964-4722-8bc9-fb1ce0d59241,2,6230907621602,2997654340079,0667595524556,12891795039258,97R,6140,2022-Aug-11T02:34:31 +0000,Bali,"-8.7172488,115.2191964",TFqrq,tIYlice,auction center,d5a7d9b3-5626-47fb-9f82-50cbdca184ee,6230907621602,2997654340079,7618072701594,Bali_auction_2
d52dbe1e-0ff9-41b2-9a99-eba5cc4a4bdb,3fffc99b-c3be-485d-920e-78f62a6b15f3,2,4692187105560,2937171970248,0667595524556,31948150305902,36PJMABYCYNITND,3883,2022-Aug-11T02:34:31 +0000,Bali,"-8.5278193,115.5054367",oNCxq,brxUZtq,auction center,d52dbe1e-0ff9-41b2-9a99-eba5cc4a4bdb,4692187105560,2937171970248,7618072701594,Bali_auction_1
04a6a728-cf94-4584-8d85-3cc99d76c80a,9d1eec2b-8e3a-4b5e-81c5-2d8e9964c33e,2,7307964990659,2997654340079,0667595524556,10848721299142,56QNWEPWSDVXBGUVNLZLBCZ,7893,2022-Aug-11T02:34:31 +0000,Bali,"-8.7373787,115.2054138",hhsIb,WtSrlcG,auction center,04a6a728-cf94-4584-8d85-3cc99d76c80a,7307964990659,2997654340079,7618072701594,Bali_auction_0
5466f608-ff45-4d56-b1af-1778ac7f6729,e8ada7ec-56f4-407a-8686-784be8d43e6b,2,4692187105560,2997654340079,5118787800210,86539170476234,510CFK,6118,2022-Aug-11T02:34:31 +0000,Bali,"-8.5278193,115.5054367",ywziH,ZQdRBek,auction center,5466f608-ff45-4d56-b1af-1778ac7f6729,4692187105560,2997654340079,7618072701594,Bali_auction_1
c4261ff8-0755-44ac-9872-bf388588e824,eb2176c5-7dbd-4641-a38c-da2bf05dce0e,2,6230907621602,5623293609856,5118787800210,74937015779735,82VHRDYRIDOKALB,9173,2022-Aug-11T02:34:31 +0000,Bali,"-8.7172488,115.2191964",ZGUBY,pWnRtZD,auction center,c4261ff8-0755-44ac-9872-bf388588e824,6230907621602,5623293609856,7370837891080,Bali_auction_2
33706069-540c-400d-9bbd-222e111cd558,c95f7e37-9135-4770-8fde-380c66f5f512,2,6230907621602,2937171970248,9997025506589,80243018383196,52OCNLLGUXEIEKRSU,9795,2022-Aug-11T02:34:31 +0000,Bali,"-8.7172488,115.2191964",Zgwpz,ixHHRQK,auction center,33706069-540c-400d-9bbd-222e111cd558,6230907621602,2937171970248,2596215788778,Bali_auction_2
