event_type,factory_gln,input_gtin,output_gtin,serial_number,quantity,event_time,location_gln,brand_name,product_method,ingredient_statement,storage_state,expiration_date,generator_gln,last_pi_gln,next_pi_gln
4,4535484276475,['70168205794531'],"['52381082552950', '91776623570286']",76IVHMNIOSQPQZWP,487,2022-Jul-26T17:59:49 +0000,3719620569667,wQeQZqqIQT,iZL,DqzAvJRXglcAFrAovjZl,PREVIOUSLY_FROZEN,2022-09-23,4535484276475,['6203601916292'],4535484276475
4,6203601916292,['35401723808813'],"['60040052352762', '69494466793555']",99RUXGIQEZ,370,2022-Jul-26T17:59:49 +0000,8353295160870,rirgNQmEom,OkV,gfuQHORwFQCuegGquHTK,PREVIOUSLY_FROZEN,2022-09-23,6203601916292,['9392322863664'],6203601916292
4,9392322863664,['79386332772495'],"['06408585603261', '12547990049874']",02DBAAWQCQNXXUKUII,424,2022-Jul-26T17:59:49 +0000,2419020906834,SteppJFIPZ,xjq,zJaydxLqqRzVjmQYwqLE,PREVIOUSLY_FROZEN,2022-09-23,9392322863664,['6203601916292'],9392322863664
4,6203601916292,['40794512930296'],"['54596427347049', '01411298118436']",62HUPSDN,460,2022-Jul-26T17:59:49 +0000,2445449528074,qpnFQEiwaX,RKH,vknCzOjtgoymFGSVyDsm,PREVIOUSLY_FROZEN,2022-09-23,6203601916292,['9392322863664'],6203601916292
4,6203601916292,['88444671233667'],"['98351073187526', '27688889074498']",19LIQEOMGTVNSOVI,434,2022-Jul-26T17:59:49 +0000,0758727450658,CCpirtQXlN,IQt,BTkXpxBRFFBKMJBoGwqB,PREVIOUSLY_FROZEN,2022-09-23,6203601916292,['9392322863664'],6203601916292
4,9392322863664,['13317653901484'],"['45608077643367', '52812565416436']",06JGYINOB,194,2022-Jul-26T17:59:49 +0000,8652593694799,EJulfpsetb,CHf,stadqmEMhOKQXGiOJDNp,PREVIOUSLY_FROZEN,2022-09-23,9392322863664,['9392322863664'],9392322863664
4,4535484276475,['00926060990380'],"['93737718447668', '34983456695985']",21AQLJIGULMLFFYOMAQFGUR,196,2022-Jul-26T17:59:49 +0000,2473953650036,frHEJCkzxe,RJd,YgEbTBGTGfPiAQwlSIsT,PREVIOUSLY_FROZEN,2022-09-23,4535484276475,['6203601916292'],4535484276475
4,9392322863664,['55292118851508'],"['00448847939500', '50722925376559']",27MYQM,224,2022-Jul-26T17:59:49 +0000,8160290242866,CULhINspMd,HPn,hWeQeyRrwOqyEFIksKRM,PREVIOUSLY_FROZEN,2022-09-23,9392322863664,['9392322863664'],9392322863664
4,6203601916292,['11418497739517'],"['14486210459220', '91806350351123']",71IKAFSVKZZDVXRBCG,369,2022-Jul-26T17:59:49 +0000,4180442683255,UntYQvaVso,YPk,WTglwYOhkvbfZhtyIUTr,PREVIOUSLY_FROZEN,2022-09-23,6203601916292,['9392322863664'],6203601916292
4,6203601916292,['06727562954151'],"['76595145906078', '42373525830617']",20SGIWKKGDM,358,2022-Jul-26T17:59:49 +0000,7598381375410,dBAwyIQPzE,njA,oBwchQDhGnQTOwMxSiOq,PREVIOUSLY_FROZEN,2022-09-23,6203601916292,['9392322863664'],6203601916292
