previous_key,event_id,event_type,generator_gln,input_gtin,output_gtin,serial_number,quantity,event_time,location_name,location_coordinate,net_contain,packing_type_code,packing_material,recycling_process_type,comapny_name,generator_type,new_key,last_pi_gln,next_pi_gln,company_name
"['8b83479d-8a45-49c7-9ffd-d012eb8ae1da', '0b6886d2-45cf-49cf-b521-affeab76e2fa']",0fcaac2f-4fa7-4908-9486-2536dbc2e9db,5,5057042124049,25763244348409,79429977286956,90GVZNPYRVHYSFSTABDAKK,94,2022-Aug-16T02:18:09 +0000,Sarabaya,"-7.2600477,112.6385163",3,Nkd,PLASTIC_THERMOPLASTICS,Recyclable,HFVOqbE,processing company,8b83479d-8a45-49c7-9ffd-d012eb8ae1da,5057042124049,5057042124049,Sarabaya_processing_2
"['0c8c053a-7ee5-46d9-b534-13e0b24c1dd6', 'aa6aa7f5-9bad-40ef-9bc6-5fb290916451']",c2efbec2-6b82-452f-847e-f5f267752752,5,5057042124049,72661074218650,62796636301554,84LEWBGUK,36,2022-Aug-16T02:18:09 +0000,Sarabaya,"-7.2600477,112.6385163",8,PlG,PLASTIC_THERMOPLASTICS,Recyclable,NHWkfuV,processing company,0c8c053a-7ee5-46d9-b534-13e0b24c1dd6,5057042124049,5057042124049,Sarabaya_processing_2
"['c9a68d5d-fb1a-4da0-a667-e7d45f98a900', '989afd99-80da-487d-ae86-ddf4b9e3c0d6']",a8c90a38-882d-4779-bd1d-edb6a06dfaf0,5,1930315437046,29105428177158,45050788387911,66SVGESPHYKEQBFGINKWHT,111,2022-Aug-16T02:18:09 +0000,Sarabaya,"-7.243421,112.7372967",4,NJG,PLASTIC_THERMOPLASTICS,Recyclable,PlnMSnZ,processing company,c9a68d5d-fb1a-4da0-a667-e7d45f98a900,1930315437046,1930315437046,Sarabaya_processing_1
"['e83812ac-2fac-432f-a901-6bd069aa899a', 'eb75cfa7-e28f-469e-90d5-5c09db1f62e1']",19e4d742-1a5e-4a11-870d-dc2489b0dc1b,5,1930315437046,14525403592095,51366368822648,43YMSAEVJ,89,2022-Aug-16T02:18:09 +0000,Sarabaya,"-7.243421,112.7372967",8,cef,PLASTIC_THERMOPLASTICS,Recyclable,JuSVDsH,processing company,e83812ac-2fac-432f-a901-6bd069aa899a,1930315437046,1930315437046,Sarabaya_processing_1
"['3e8f0893-9ef6-4d6e-8019-f13a5124fa42', '8601c57c-51c2-4d56-a2e7-eb5375e06dcb']",0f8bc83e-6025-4d07-920b-03995a90954f,5,8878968270139,31913786195018,40803786563333,70KCRBL,35,2022-Aug-16T02:18:09 +0000,Sarabaya,"7.2677701,112.7178386",5,SZc,PLASTIC_THERMOPLASTICS,Recyclable,plMxDcC,processing company,3e8f0893-9ef6-4d6e-8019-f13a5124fa42,8878968270139,8878968270139,Sarabaya_processing_0
"['7594c9ad-ca1f-4d8b-84aa-563e40c68694', '1ae5c5d2-5663-4eae-9f9a-7103969ff760']",fdec412e-11e1-4356-adc1-a624947b38d1,5,5057042124049,40182010568473,54673575325133,24AIOCHNAVYVWXMKNOLS,108,2022-Aug-16T02:18:09 +0000,Sarabaya,"-7.2600477,112.6385163",4,XOG,PLASTIC_THERMOPLASTICS,Recyclable,AhfInvc,processing company,7594c9ad-ca1f-4d8b-84aa-563e40c68694,5057042124049,5057042124049,Sarabaya_processing_2
"['05f4c005-230d-4f63-91d0-59b9fc470a30', 'fe6096e5-76c9-45be-8ffa-f791e124a1f9']",d9a7b422-d6c0-44af-a4c3-c6c8e4ac2a6a,5,8878968270139,14658078866409,87247757085789,30ZBVTUPJEIFOUJHG,111,2022-Aug-16T02:18:09 +0000,Sarabaya,"7.2677701,112.7178386",2,Aqc,PLASTIC_THERMOPLASTICS,Recyclable,UMzfDYB,processing company,05f4c005-230d-4f63-91d0-59b9fc470a30,8878968270139,8878968270139,Sarabaya_processing_0
"['2b5a230c-728d-4313-9f5d-2a0cc12892f6', 'e0bd7ef1-27d4-4684-9b81-e822e2404069']",a6705f80-d10d-4d39-9e60-dea549cfef69,5,8878968270139,41971151073829,21800853418861,61OPKN,103,2022-Aug-16T02:18:09 +0000,Sarabaya,"7.2677701,112.7178386",3,mnh,PLASTIC_THERMOPLASTICS,Recyclable,vaozLBk,processing company,2b5a230c-728d-4313-9f5d-2a0cc12892f6,8878968270139,8878968270139,Sarabaya_processing_0
"['f515812c-7453-46ce-8c99-9076fd5dfb82', '1338e9d8-3164-4c34-9fe6-cc8b718c24e8']",21b7503d-1e56-456b-a767-715d2bcbcb71,5,5057042124049,09548557735789,76237951428577,98YVKHYMMG,53,2022-Aug-16T02:18:09 +0000,Sarabaya,"-7.2600477,112.6385163",0,SYA,PLASTIC_THERMOPLASTICS,Recyclable,alJktIN,processing company,f515812c-7453-46ce-8c99-9076fd5dfb82,5057042124049,5057042124049,Sarabaya_processing_2
"['69e38658-2d88-49c9-a383-fc91d83a77ed', '48cfd187-54f3-43f0-a8ec-f6d8a740b32d']",a4057667-909e-4a73-b278-06deb4599f7b,5,8878968270139,37312032363523,68918491473612,99UZPXBHVOKFKOZCEVMFKFQ,83,2022-Aug-16T02:18:09 +0000,Sarabaya,"7.2677701,112.7178386",0,hRi,PLASTIC_THERMOPLASTICS,Recyclable,veqajcY,processing company,69e38658-2d88-49c9-a383-fc91d83a77ed,8878968270139,8878968270139,Sarabaya_processing_0
