previous_key,event_id,event_type,generator_gln,input_gtin,output_gtin,serial_number,quantity,event_time,location_name,location_coordinate,net_contain,packing_type_code,packing_material,recycling_process_type,comapny_name,generator_type,new_key,last_pi_gln,next_pi_gln,company_name
e85038e6-77a4-4786-8546-2251f00b229b,99eb1ec3-ab94-465d-84bd-a9114bcb1ada,5,8476421023881,90228486591293,80117094130712,18QZRPJSTMYBUVUFXHYMBWF,43,2022-Aug-16T15:48:52 +0000,Sarabaya,"-7.243421,112.7372967",8,BNh,PLASTIC_THERMOPLASTICS,Recyclable,bMDaCyX,processing company,722e9ede-5313-40e4-9e97-1e41d03331b3,8476421023881,8476421023881,Sarabaya_processing_1
f48d0ef0-4d0a-4a47-901f-9b39dded00ad,b8e5c502-e4f7-4099-8fb0-55c96b38e539,5,8476421023881,72853058915199,54560788303223,18KFQHXIBEQF,49,2022-Aug-16T15:48:52 +0000,Sarabaya,"-7.243421,112.7372967",2,itb,PLASTIC_THERMOPLASTICS,Recyclable,iCeMtEV,processing company,1293b5df-10d8-4c8d-862f-7ec9a102dd3b,8476421023881,8476421023881,Sarabaya_processing_1
d3dafc8c-5179-4118-978b-2cef66ae6d64,bba93516-34b9-4133-b1bb-e287da91e120,5,8391076131052,83512361854632,93913559141177,79GC,31,2022-Aug-16T15:48:52 +0000,Sarabaya,"-7.2600477,112.6385163",2,yrz,PLASTIC_THERMOPLASTICS,Recyclable,ywSgZnx,processing company,3e7010e2-277e-48ca-b4ed-fdd5d3c4ab62,8391076131052,8391076131052,Sarabaya_processing_2
30b1a233-6457-42ae-b6f1-b4cac56d80ab,ebe77824-ed90-4528-a444-2a24805c0474,5,0307593212864,88775800713759,24410794680303,68GWACINNFVFXBZVVGXIVSU,104,2022-Aug-16T15:48:52 +0000,Sarabaya,"7.2677701,112.7178386",9,jfq,PLASTIC_THERMOPLASTICS,Recyclable,deCzPMl,processing company,b90f5020-b0da-4d38-8367-3b0bb7c7dffe,0307593212864,0307593212864,Sarabaya_processing_0
2f877a67-0850-4c1e-beb8-dd0a0a7a3eaa,ff207e4f-178d-4a0e-b1b4-f22e0049d4b0,5,0307593212864,95561647324516,15414006778688,05RSERTODBAOFBPJHMYJT,30,2022-Aug-16T15:48:52 +0000,Sarabaya,"7.2677701,112.7178386",1,nCr,PLASTIC_THERMOPLASTICS,Recyclable,SixChDr,processing company,8eabc700-340e-428d-95de-4852c1454fca,0307593212864,0307593212864,Sarabaya_processing_0
f5966d0e-dab8-4146-b54a-6b9129413374,43693975-121d-40e3-9e89-7cecdb41e13d,5,8391076131052,26113112766468,24443717863871,610HFP,102,2022-Aug-16T15:48:52 +0000,Sarabaya,"-7.2600477,112.6385163",8,KXx,PLASTIC_THERMOPLASTICS,Recyclable,KaItsfs,processing company,2ec34621-22de-49ff-8bc6-54dba80150ae,8391076131052,8391076131052,Sarabaya_processing_2
6c369cca-08d7-4bbe-8175-44e65696c217,cc6e4c11-11e9-471d-a8f7-47fe5e456596,5,0307593212864,78008562227891,61063465724545,104NSGAEMFNMQCLATYM,74,2022-Aug-16T15:48:52 +0000,Sarabaya,"7.2677701,112.7178386",5,LdV,PLASTIC_THERMOPLASTICS,Recyclable,yDyiQbO,processing company,1ac89693-f6bd-4ef6-8aff-a123fbfa966e,0307593212864,0307593212864,Sarabaya_processing_0
afdf6a46-0a92-4d1f-9986-2c259c893abd,9ea3cdaf-2c0f-4038-b3e4-04fda27a70e3,5,8476421023881,98447144810727,14017238242055,13LULD,101,2022-Aug-16T15:48:52 +0000,Sarabaya,"-7.243421,112.7372967",6,Vuj,PLASTIC_THERMOPLASTICS,Recyclable,tNhDzaL,processing company,50492bb0-5b13-444e-8aa4-c45bbe930740,8476421023881,8476421023881,Sarabaya_processing_1
dc8c0cb4-41b8-48c4-8e2a-8a263f9927bc,660416d0-580e-43cd-993e-8ca7fdbb5589,5,8391076131052,55484108092992,26198127748630,16AIOQEGJPOFBIFXWZ,56,2022-Aug-16T15:48:52 +0000,Sarabaya,"-7.2600477,112.6385163",9,FCJ,PLASTIC_THERMOPLASTICS,Recyclable,bWmHZnI,processing company,d7a451ab-85a8-415e-9315-09bf3ec01f86,8391076131052,8391076131052,Sarabaya_processing_2
58328ed5-c027-4fcc-9702-c6ed5a4d5225,0190aa17-96b2-4de6-adc4-a8eced0dfa61,5,0307593212864,24784758570756,45847013775878,25EIIDSMMJRV,73,2022-Aug-16T15:48:52 +0000,Sarabaya,"7.2677701,112.7178386",5,FgR,PLASTIC_THERMOPLASTICS,Recyclable,TZUkinM,processing company,a1923210-e334-4e16-9c76-e2a3c3de6a59,0307593212864,0307593212864,Sarabaya_processing_0
