previous_key,event_id,event_type,auction_gln,supplier_gln,customer_gln,gtin,serial_number,weight,event_time,location_name,location_coordinate,product_name,comapny_name,generator_type,new_key,generator_gln,last_pi_gln,next_pi_gln,company_name
f914fab2-6102-4a8a-a5f1-ded970e2b31a,69034bf6-e054-429d-a53f-349d5d9c6860,2,4713924717486,3554247679854,2763567878706,66754690700769,09FEV,2114,2022-Aug-10T23:24:06 +0000,Bali,"-8.5278193,115.5054367",jSRst,uzZTkqF,auction center,f914fab2-6102-4a8a-a5f1-ded970e2b31a,4713924717486,3554247679854,6464028819111,Bali_auction_1
8e8a04ce-1cc4-45b1-9b59-5b17b61d86c2,6c2bfdb6-aa42-4593-b864-2be35b6e671d,2,2656058923708,2079196312230,2763567878706,36037669009328,61R,7948,2022-Aug-10T23:24:06 +0000,Bali,"-8.7373787,115.2054138",qyPWr,zCbzcRz,auction center,8e8a04ce-1cc4-45b1-9b59-5b17b61d86c2,2656058923708,2079196312230,4220625469927,Bali_auction_0
9bacf454-1bd1-4ac8-9e9f-2445ee7c6013,c859d874-9b60-488a-86c1-f20704912c66,2,4713924717486,3554247679854,0220675328000,89681988944721,63FTFQD,4684,2022-Aug-10T23:24:06 +0000,Bali,"-8.5278193,115.5054367",bvzXb,nIACaOH,auction center,9bacf454-1bd1-4ac8-9e9f-2445ee7c6013,4713924717486,3554247679854,4220625469927,Bali_auction_1
da17063d-116a-4f20-9cfb-86134ac6e739,b954eba8-32e0-4673-8ecc-4fe49e531e11,2,4713924717486,0237784275243,6441500985066,25022734565954,55RVXFUQNBII,1282,2022-Aug-10T23:24:06 +0000,Bali,"-8.5278193,115.5054367",ZHEzJ,QYeNQXc,auction center,da17063d-116a-4f20-9cfb-86134ac6e739,4713924717486,0237784275243,3296106594149,Bali_auction_1
e8fd1c21-f851-408d-8790-3c6c870638b8,c577332d-ccf4-40af-89d6-cfe3d3490597,2,4713924717486,0237784275243,0220675328000,07365949478730,42YQCFLET,2822,2022-Aug-10T23:24:06 +0000,Bali,"-8.5278193,115.5054367",WcLkK,JXuuKas,auction center,e8fd1c21-f851-408d-8790-3c6c870638b8,4713924717486,0237784275243,6464028819111,Bali_auction_1
247b3f2d-862e-4bf4-bb20-35d51eda0b38,cc716728-788f-4fb4-8fd1-1911806b1b29,2,2656058923708,2079196312230,2763567878706,18502640920598,03GFMCJPZQVPCBYG,5473,2022-Aug-10T23:24:06 +0000,Bali,"-8.7373787,115.2054138",PriaL,qusYQTm,auction center,247b3f2d-862e-4bf4-bb20-35d51eda0b38,2656058923708,2079196312230,3296106594149,Bali_auction_0
a3e2a53a-971d-4541-8604-6bb8ba420c4a,4e4a289b-10af-4f89-bae2-64b7d3aee412,2,2656058923708,0237784275243,2763567878706,85532900547462,410JLRWJ,838,2022-Aug-10T23:24:06 +0000,Bali,"-8.7373787,115.2054138",cKqjO,aadklWD,auction center,a3e2a53a-971d-4541-8604-6bb8ba420c4a,2656058923708,0237784275243,6464028819111,Bali_auction_0
1a34550a-9bbb-48d3-8320-6cf918d31813,6250b69f-462c-4229-b677-6a0457d00dd5,2,2656058923708,0237784275243,2763567878706,68250585140230,21KRLQOJRLMYCTMJAIJFDX,9363,2022-Aug-10T23:24:06 +0000,Bali,"-8.7373787,115.2054138",TvbRQ,NOdCtQi,auction center,1a34550a-9bbb-48d3-8320-6cf918d31813,2656058923708,0237784275243,3296106594149,Bali_auction_0
f43fce7d-26fd-4885-b2ca-e0e649da117e,c4ffeac4-da90-4fde-afd9-958bdac58aa3,2,4713924717486,0237784275243,2763567878706,50460957533122,107EWVAZMNMPCAYUHUUJZ,2770,2022-Aug-10T23:24:06 +0000,Bali,"-8.5278193,115.5054367",kTNxH,zRprGUp,auction center,f43fce7d-26fd-4885-b2ca-e0e649da117e,4713924717486,0237784275243,3296106594149,Bali_auction_1
ce3a9c52-7eaa-4e56-ad4d-576af875a20e,5032a3d3-4ab2-48fe-923a-dd25d25c34f0,2,4713924717486,0237784275243,0220675328000,65153997901136,81NFF,3818,2022-Aug-10T23:24:06 +0000,Bali,"-8.5278193,115.5054367",FjWHs,Djgyizx,auction center,ce3a9c52-7eaa-4e56-ad4d-576af875a20e,4713924717486,0237784275243,3296106594149,Bali_auction_1
